subdistrict,flood_incidents,max_water_height_cm,total_evacuees
"Kec, Pasar Minggu",2,80.0,0
Kec. Cakung,3,30.0,0
Kec. Cengkareng,12,80.0,2
Kec. Cilandak,5,70.0,0
Kec. Cilincing,9,50.0,0
Kec. Ciracas,4,50.0,3
Kec. Grogol Petamburan,4,60.0,0
Kec. Jagakarsa,5,70.0,0
Kec. Jatinegara,13,250.0,9
Kec. Kali Deres,2,70.0,0
Kec. Kalideres,5,80.0,0
Kec. Kebayoran Baru,7,90.0,0
Kec. Kebayoran Lama,9,75.0,0
Kec. Kebon Jeruk,8,100.0,0
Kec. Kelapa Gading,3,30.0,0
Kec. Kembangan,7,110.0,1
Kec. Koja,2,30.0,0
Kec. Kramat Jati,6,170.0,5
Kec. Makasar,9,100.0,1
Kec. Mampang,1,40.0,0
Kec. Mampang Prapatan,1,70.0,0
Kec. Matraman,1,20.0,0
Kec. Pademangan,1,30.0,0
Kec. Palmerah,4,40.0,0
Kec. Pancoran,9,250.0,3
Kec. Pasar Minggu,8,220.0,0
Kec. Pasar Rebo,2,60.0,0
Kec. Penjaringan,10,50.0,0
Kec. Senen,1,20.0,0
Kec. Tambora,1,40.0,0
Kec. Tanjung Priok,5,50.0,0
Kec. Tebet,5,100.0,1
Kec.Kramat Jati,3,120.0,0
